model,seed,bucket,recall_at_5,users
lightgcn_k1,6,tail,0.31547619047619047,196
lightgcn_k1,6,lower-mid,0.42377326565143825,197
lightgcn_k1,6,upper-mid,0.4608712121212121,220
lightgcn_k1,6,head,0.5585271317829458,215
lightgcn_k1,7,tail,0.34268707482993194,196
lightgcn_k1,7,lower-mid,0.44213197969543144,197
lightgcn_k1,7,upper-mid,0.4950378787878788,220
lightgcn_k1,7,head,0.5630564784053157,215
lightgcn_k1,8,tail,0.33358843537414967,196
lightgcn_k1,8,lower-mid,0.427072758037225,197
lightgcn_k1,8,upper-mid,0.4787878787878788,220
lightgcn_k1,8,head,0.5445736434108527,215
lightgcn_k1,9,tail,0.3221938775510204,196
lightgcn_k1,9,lower-mid,0.41175972927241966,197
lightgcn_k1,9,upper-mid,0.4491287878787879,220
lightgcn_k1,9,head,0.5827464008859358,215
lightgcn_k1,10,tail,0.31845238095238093,196
lightgcn_k1,10,lower-mid,0.4452622673434856,197
lightgcn_k1,10,upper-mid,0.47273268398268403,220
lightgcn_k1,10,head,0.5698449612403101,215
lightgcn_k1,11,tail,0.3300170068027211,196
lightgcn_k1,11,lower-mid,0.38384094754653136,197
lightgcn_k1,11,upper-mid,0.4870833333333333,220
lightgcn_k1,11,head,0.5589479512735327,215
lightgcn_k1,12,tail,0.30986394557823127,196
lightgcn_k1,12,lower-mid,0.41692047377326563,197
lightgcn_k1,12,upper-mid,0.49958874458874464,220
lightgcn_k1,12,head,0.5697231450719823,215
lightgcn_k1,13,tail,0.3051020408163265,196
lightgcn_k1,13,lower-mid,0.4223350253807106,197
lightgcn_k1,13,upper-mid,0.4925054112554113,220
lightgcn_k1,13,head,0.56421926910299,215
lightgcn_k1,14,tail,0.3087585034013605,196
lightgcn_k1,14,lower-mid,0.41548223350253805,197
lightgcn_k1,14,upper-mid,0.4947402597402598,220
lightgcn_k1,14,head,0.5719269102990033,215
lightgcn_k1,15,tail,0.33818027210884355,196
lightgcn_k1,15,lower-mid,0.4133671742808799,197
lightgcn_k1,15,upper-mid,0.4656547619047619,220
lightgcn_k1,15,head,0.5605758582502768,215
lightgcn_k1,16,tail,0.33469387755102037,196
lightgcn_k1,16,lower-mid,0.43307952622673435,197
lightgcn_k1,16,upper-mid,0.4924945887445888,220
lightgcn_k1,16,head,0.5876633444075304,215
lightgcn_k1,17,tail,0.3246598639455783,196
lightgcn_k1,17,lower-mid,0.46091370558375633,197
lightgcn_k1,17,upper-mid,0.48659090909090913,220
lightgcn_k1,17,head,0.5623920265780732,215
lightgcn_k1,18,tail,0.3215986394557823,196
lightgcn_k1,18,lower-mid,0.4219120135363791,197
lightgcn_k1,18,upper-mid,0.47147727272727274,220
lightgcn_k1,18,head,0.5572425249169436,215
lightgcn_k1,19,tail,0.3031462585034014,196
lightgcn_k1,19,lower-mid,0.42614213197969547,197
lightgcn_k1,19,upper-mid,0.458641774891775,220
lightgcn_k1,19,head,0.5572868217054264,215
lightgcn_k2,0,tail,0.3038265306122449,196
lightgcn_k2,0,lower-mid,0.4358714043993232,197
lightgcn_k2,0,upper-mid,0.5017099567099568,220
lightgcn_k2,0,head,0.5897674418604651,215
lightgcn_k2,1,tail,0.2982142857142857,196
lightgcn_k2,1,lower-mid,0.422165820642978,197
lightgcn_k2,1,upper-mid,0.5054220779220779,220
lightgcn_k2,1,head,0.5942967884828351,215
lightgcn_k2,2,tail,0.3168367346938775,196
lightgcn_k2,2,lower-mid,0.4149746192893401,197
lightgcn_k2,2,upper-mid,0.49720238095238095,220
lightgcn_k2,2,head,0.6091915836101883,215
lightgcn_k2,3,tail,0.30391156462585034,196
lightgcn_k2,3,lower-mid,0.4095600676818951,197
lightgcn_k2,3,upper-mid,0.5255681818181818,220
lightgcn_k2,3,head,0.5899224806201551,215
lightgcn_k2,4,tail,0.2941326530612245,196
lightgcn_k2,4,lower-mid,0.4235194585448393,197
lightgcn_k2,4,upper-mid,0.5078409090909092,220
lightgcn_k2,4,head,0.5948504983388705,215
lightgcn_k2,5,tail,0.3051020408163265,196
lightgcn_k2,5,lower-mid,0.4359560067681895,197
lightgcn_k2,5,upper-mid,0.50745670995671,220
lightgcn_k2,5,head,0.5768992248062016,215
lightgcn_k2,6,tail,0.27729591836734696,196
