dataset,model,seed,k_layers,gamma,residual,embedding_dim,epochs,batch_size,lr,weight_decay,topk,ndcg_at_5,recall_at_5,head_item_share,avg_recommended_train_degree,js_recommendation_vs_random_test,n_eval_users,runtime_seconds,used_cuda
coat,corrected_k2_stronger,9,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6661244840264697,0.4793545669435349,0.14590747330960854,14.429893238434165,0.043539697615418586,281,9.316472291946411,True
coat,zero_hop,10,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6585813198990706,0.4724400105627864,0.1380782918149466,14.086832740213522,0.04056446308965144,281,6.7669689655303955,True
coat,lightgcn_k1,10,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6727407293996881,0.49271071455235155,0.14875444839857652,14.379359430604982,0.048365885971702396,281,8.197303295135498,True
coat,lightgcn_k2,10,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.686975044595763,0.5055683985844127,0.15444839857651246,14.76370106761566,0.05409953433715145,281,9.370002746582031,True
coat,lightgcn_k3,10,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6855335555232522,0.5013201458486156,0.1601423487544484,15.12953736654804,0.060735052851546,281,12.617581129074097,True
coat,corrected_k2,10,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6709862381272207,0.4919917814490768,0.1501779359430605,14.47900355871886,0.04292966305959072,281,9.410169124603271,True
coat,corrected_k2_stronger,10,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.672646853608452,0.48785701743886795,0.14733096085409253,14.325978647686833,0.03965219757988554,281,9.29988980293274,True
coat,zero_hop,11,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6555377347607999,0.469825355545996,0.13167259786476868,13.915302491103203,0.04234575776081727,281,6.83600378036499,True
coat,lightgcn_k1,11,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6606813349501403,0.4796702951062382,0.1423487544483986,14.226334519572951,0.045695413983609164,281,7.943582773208618,True
coat,lightgcn_k2,11,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6810300802734636,0.49511626669099984,0.1516014234875445,14.639145907473308,0.05495671722388904,281,9.140016555786133,True
coat,lightgcn_k3,11,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6933343251302948,0.5087612318484204,0.15658362989323843,14.9288256227758,0.052800978591226705,281,12.664076566696167,True
coat,corrected_k2,11,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6702335590917599,0.48169242284010966,0.1423487544483986,14.370106761565836,0.04744884726630995,281,9.547255992889404,True
coat,corrected_k2_stronger,11,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.671854939059588,0.4825087970550604,0.14519572953736654,14.448398576512455,0.04815533431591122,281,9.404873371124268,True
coat,zero_hop,12,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6458330771369464,0.4672387369451426,0.1423487544483986,14.194306049822064,0.0446714532282968,281,6.883410453796387,True
coat,lightgcn_k1,12,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6706092889529573,0.4973767187735159,0.1487544483985765,14.405693950177936,0.049296871917958764,281,7.924133539199829,True
coat,lightgcn_k2,12,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6816629303361055,0.5046470482858383,0.15160142348754446,14.704626334519572,0.054363271999512304,281,9.00300669670105,True
coat,lightgcn_k3,12,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6850067003992857,0.5066835546817754,0.15729537366548044,15.098220640569396,0.06346826404764427,281,12.515713214874268,True
coat,corrected_k2,12,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6673422686253279,0.4838828974505131,0.14519572953736654,14.353736654804269,0.046478699456619206,281,9.468515872955322,True
coat,corrected_k2_stronger,12,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6646266051235913,0.48046342250078905,0.14448398576512453,14.341637010676157,0.04725195530352805,281,9.425597906112671,True
coat,zero_hop,13,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.648662619522803,0.46450830209727,0.13238434163701068,13.866192170818506,0.03827814785573082,281,6.837376356124878,True
coat,lightgcn_k1,13,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.673802156706067,0.4932898803450405,0.14661921708185052,14.388612099644128,0.040254717075996496,281,7.966333389282227,True
coat,lightgcn_k2,13,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6832962533785785,0.5042257910140472,0.16156583629893234,14.955160142348756,0.05341358778961883,281,9.243024587631226,True
coat,lightgcn_k3,13,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6911195701689523,0.5094881146927409,0.1601423487544484,15.101779359430607,0.05958189036945242,281,12.214752435684204,True
coat,corrected_k2,13,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6739882200731949,0.488667900900997,0.1501779359430605,14.562989323843418,0.04385347215719694,281,9.32333779335022,True
coat,corrected_k2_stronger,13,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6781128339942204,0.4937624899813512,0.1501779359430605,14.460498220640568,0.040296313781988766,281,9.327482223510742,True
coat,zero_hop,14,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6489675229600641,0.4668771372952867,0.1402135231316726,14.066192170818505,0.04617817808606189,281,6.900934219360352,True
coat,lightgcn_k1,14,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6652080487911058,0.4865481345463552,0.14448398576512453,14.265480427046265,0.04190766524548129,281,7.937097787857056,True
coat,lightgcn_k2,14,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.674094312126593,0.4931392796606319,0.1508896797153025,14.785765124555157,0.05195393995936645,281,9.130943536758423,True
coat,lightgcn_k3,14,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.682912672273152,0.506097535323514,0.15302491103202848,15.00284697508897,0.06044432115369551,281,12.711679935455322,True
coat,corrected_k2,14,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6646242859257251,0.4887551702943162,0.1402135231316726,14.185053380782918,0.043133742530816185,281,9.463792324066162,True
coat,corrected_k2_stronger,14,2,0.7,0.2,32,180,1024,0.03,1e-05,5,0.6633433661451185,0.48447238309337953,0.14306049822064057,14.21423487544484,0.04237456109582354,281,9.601212501525879,True
coat,zero_hop,15,0,0.0,0.0,32,180,1024,0.03,1e-05,5,0.651832286138349,0.47578749344763577,0.1380782918149466,14.008540925266905,0.04159182821848593,281,6.983008623123169,True
coat,lightgcn_k1,15,1,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6721187953606317,0.48336979844986966,0.15088967971530248,14.455516014234876,0.04450418454596839,281,8.115092515945435,True
coat,lightgcn_k2,15,2,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6764424544682648,0.493434861895716,0.15587188612099642,14.920284697508897,0.05584004519624609,281,9.030701398849487,True
coat,lightgcn_k3,15,3,0.0,0.0,32,180,1024,0.03,1e-05,5,0.6830158555714899,0.502948529327533,0.1601423487544484,15.269039145907472,0.059270360335810186,281,12.503819227218628,True
coat,corrected_k2,15,2,0.35,0.2,32,180,1024,0.03,1e-05,5,0.6694157968986243,0.4893928777825575,0.14448398576512456,14.345907473309607,0.045128118251341734,281,9.552096128463745,True
